tablescraper-selected-row href,Club Name,Description Excerpt
https://now.calpoly.edu/organization/aacfclub,AACF (Asian American Christian Fellowship),"The mission of AACF is to reach into the university and collegiate community with the life-changing message of Jesus Christ. We focus on loving God and loving others through community, Bible study, prayer, worship and more!"
https://now.calpoly.edu/organization/cpad,Advertising Club,The Cal Poly Advertising Club provides students with hands-on experience in the world of advertising by partnering with local businesses to create real-world campaigns. Members will boost their creativity through collaboration and passion in the club.
https://now.calpoly.edu/organization/abm-nama,Agribusiness Management/National Agri-Marketing Association Club,"The ABM/NAMA club is a great way for students to learn about and/or prepare for a future in the agribusiness industry. The club allows students to attend industry conventions, compete in marketing competitions, and network with agribusiness professionals"
https://now.calpoly.edu/organization/agricultural-communicators-tomorrow,Agricultural Communicators of Tomorrow,This club provides students the opportunity to become involved in the agricultural industry and be able to bridge the gap between the general public and those involved in agriculture.
https://now.calpoly.edu/organization/ag-eng-society,Agricultural Engineering Society,Main goals of AES are to enhance the student experience associated in the BRAE department as well as other departments throughout campus.
https://now.calpoly.edu/organization/agls,Agricultural Leadership Society,"Agricultural Leadership Society empowers all students to find leadership in agriculture through growing our connections on and off campus, discovering our strengths, and being fun and inclusive at our club events."
https://now.calpoly.edu/organization/ashrae,"American Society of Heating, Refrigerating and Air-Conditioning Engineers","The Cal Poly Chapter of ASHRAE (American Society of Heating, Refrigerating and Air-Conditioning Engineers) helps students better understand the possibilities within the HVAC industry."
https://now.calpoly.edu/organization/axs,"Alpha Chi Sigma, Gamma Zeta Chapter","Alpha Chi Sigma is a co-ed, professional chemistry fraternity committed to creating a positive environment where students and faculty interested in the chemical sciences can become involved in service and leadership."
https://now.calpoly.edu/organization/akdphi,alpha Kappa Delta Phi,"alpha Kappa Delta Phi is the largest and only international Asian-Interest sorority with over 65 chapters across the U.S. & Canada. Our 5 pillars in which we strive towards are Sxsterhood, Scholarship, Leadership, Service, and Asian-Awareness."
https://now.calpoly.edu/organization/akpsi,Alpha Kappa Psi Professional Business Fraternity,Alpha Kappa Psi is a Co-Ed Professional Business Fraternity opened to all majors.
https://now.calpoly.edu/organization/cpaoe,Alpha Omega Epsilon,Alpha Omega Epsilon is a professional and social sorority composed of engineering and technical science students and alumni from across the globe.
https://now.calpoly.edu/organization/aphio,"Alpha Phi Omega, Zeta Omicron Chapter","We are a co-ed national service fraternity, so our main goal is to do community service. Other than service, we also have fellowship events, interchapter events, alumni events, and more."
https://now.calpoly.edu/organization/apm,Alpha Pi Mu at Cal Poly,We are the national honor society for Industrial Engineering students. We recognize the leaders in our department and give back to our community on and off campus.
https://now.calpoly.edu/organization/asmu,Alpha Sigma Mu,Honors organization for the Materials Engineering Department.
https://now.calpoly.edu/organization/alpha-sigma-phi,Alpha Sigma Phi Iota Chi (ΑΣΦ IX),"The purpose of Alpha Sigma Phi is to Better the Man through the creation and perpetuation of brotherhood founded upon the values of character: Silence, Charity, Purity, Honor, Patriotism."
