Club Name,links,Leadership,Teamwork,Community Service,Advocacy,Social Justice,Sustainability,Technology,Arts & Crafts,Performing Arts,Cultural Expression,Diversity & Inclusion,Mentorship,Career Growth,Networking,Entrepreneurship,Research,Fitness,Competitive Sports,Outdoor Activities,Wellness,Mental Health,Academic Focus,Debate & Discussion,Gaming,Social Events,Media & Film,Writing & Literature,Music,Dance,Fashion & Design,Food & Cooking,Language & Culture,Political Action,Fundraising,Tutoring & Teaching,DIY & Making,Faith & Spirituality,Professional Skills,Public Speaking,Problem Solving,Gaming & eSports,Robotics & AI,woman women,man men,lgbtq,White European Italian,Black African American,Native American,Asian,Hispanic,Native Hawaiian or Other Pacific Islander,Greek,Christian,Islam,Jewish Community and Judaism,Hindu,Buddhism,Muslim,Sikh,Aerospace Engineering,Agricultural Business,Agricultural Communication,Agricultural Science,Agricultural Systems Management,Animal Science,Anthropology and Geography,Architectural Engineering,Architecture,Art and Design,Biochemistry,Biological Sciences,Biomedical Engineering,BioResource and Agricultural Engineering,Business Administration,Chemistry,Child Development,City and Regional Planning,Civil Engineering,Communication Studies,Comparative Ethnic Studies,Computer Engineering,Computer Science,Construction Management,Dairy Science,Economics,Electrical Engineering,English,Environmental Earth and Soil Sciences,Environmental Engineering,Environmental Management and Protection,Food Science,Forest and Fire Sciences,General Engineering,Graphic Communication,History,Industrial Engineering,Industrial Technology and Packaging,Interdisciplinary Studies,Journalism,Kinesiology,Landscape Architecture,Liberal Arts and Engineering Studies,Liberal Studies,Manufacturing Engineering,Marine Sciences,Materials Engineering,Mathematics,Mechanical Engineering,Microbiology,Music,Nutrition,Philosophy,Physics,Plant Sciences,Political Science,Public Health,Psychology,"Recreation, Parks, and Tourism Administration",Sociology,Software Engineering,Spanish,Statistics,Theatre Arts,Wine and Viticulture,Description
AACF (Asian American Christian Fellowship),https://now.calpoly.edu/organization/aacfclub,0.35902396879518217,0.4600786225697686,0.528181290245156,0.6689044648552223,0.34571053193221385,0.2603206179782096,0.19155236534007886,0.3984865673336139,0.34701958266864597,0.6098556591203252,0.2972914495054492,0.35884776171745547,0.2222408508100027,0.1623670896454872,0.35862842544338935,0.2906831427415654,0.18015008557075682,0.2545178579212702,0.23344907043762803,0.22015675486105202,0.3134203327034888,0.5316542736019851,0.19423526493271567,0.1418486227050459,0.3929637112589113,0.21647832450513527,0.22637035653693632,0.16790103068990725,0.2756053037607007,0.11304672915526491,0.211273732022022,0.4345253957333135,0.3290500152184508,0.611613705426612,0.3867020180744692,0.14169035169623756,0.5858549246411917,0.10771052015825214,0.5015417123216055,0.35257698806981275,0.05846587071466146,0.23345268358248544,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.858951523163011,0.501320311105338,0.5153746152812783,0.5611880461095147,0.4444232944669476,0.5723829669414672,0.5417262679755439,0.202302585965579,0.24502489517935355,0.1673487537551519,0.1981635261713735,0.1190977056621955,0.1993266247940754,0.3739990002285595,0.28486898085402557,0.294905695999255,0.26098200287088136,0.2934620646059347,0.1702306402943275,0.18125078023291574,0.0360662575450032,0.35521865392834484,0.2894361844194871,0.3224634566739386,0.27993068276476823,0.17605077911650716,0.353695801024173,0.30949300408255753,0.28224217669751134,0.2841951703289519,0.08678110887263368,0.12741175879591626,0.23371077877637347,0.20296250115542774,0.3942961462311416,0.11799261268998831,0.07939798471031365,0.1478260025412799,0.15278704612118615,0.1274919093603168,0.16195840216573676,0.20354198545132174,0.29199361971492466,0.0949519555518086,0.10239507336296838,0.2205274409466524,0.24152479065515248,0.2552645214313544,0.12150595725048066,0.1362538472609593,0.3083268721682777,0.09762052483030786,0.06453247501722728,0.14686834798035217,0.16769409097104546,0.15564997618117477,0.2089144931154998,0.16790103068990725,0.16914126144577296,0.2561122200948206,0.11676222701369518,0.07760447444123418,0.21274473726083487,0.22377237168291808,0.2708298512435055,0.38873868895927705,0.2887278400598687,0.22287188802214086,0.32815902001994146,0.09599733313863724,0.3032888521094679,0.09713850267389999,"AACF (Asian American Christian Fellowship) The mission of AACF is to reach into the university and collegiate community with the life-changing message of Jesus Christ. We focus on loving God and loving others through community, Bible study, prayer, worship and more!"
Advertising Club,https://now.calpoly.edu/organization/cpad,0.2709056447609886,0.5529731069574001,0.3992515781813617,0.43894794284161714,0.19503638886005775,0.22410469909883435,0.25266822800992833,0.5268391624919145,0.3802914856954387,0.4492528180523835,0.23314595695706236,0.42869080747051813,0.36311571485697713,0.3504819705294968,0.4998448966865572,0.30048304135433623,0.3349925471923178,0.4462580857783052,0.3647998757224454,0.14409912316031903,0.12384331552939322,0.5288380555420201,0.21826747229477722,0.28399968840088186,0.5206912465399833,0.5419228987795122,0.4606159631655755,0.2366153820563182,0.34819772197773824,0.45178337504876104,0.29773839111076533,0.2622347226572106,0.23516571172332884,0.6506075126646238,0.632287802296375,0.3603832829768102,0.21729305246053937,0.3981254057004491,0.3768793959565052,0.41780979038555455,0.3152983525184687,0.19946090473932124,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3586503003190391,0.16515141892350044,0.13306317870967294,0.1561978245180583,0.17125374606668242,0.15770266309113715,0.1992006797870452,0.22046040383484716,0.35423407545783275,0.26974446156535264,0.2450588182858388,0.27308168772918884,0.26944735300028044,0.2583730996543594,0.28403138361230196,0.3365709219289138,0.48340789308215887,0.3218573347645585,0.18637153036095133,0.14062237808441597,0.111426310936006,0.4359256898611143,0.3914779324795111,0.289901627877986,0.32205496591911476,0.27898106681883056,0.4852044958322424,0.10796671817463717,0.35504131857030885,0.464678062717005,0.17269819108531378,0.3161370247915262,0.3135605346085065,0.22545022891178007,0.42603829608304566,0.20093279437161443,0.18864060601087865,0.20061825937294736,0.32381632068485333,0.14781512066126354,0.21342855743167544,0.5459895912496078,0.183009856767737,0.25701002677835677,0.2943052057733569,0.35342349234324744,0.5166891695773815,0.3014792828920416,0.2141701921106814,0.2916356833954191,0.344757084662534,0.22976495368139266,0.1693381113942789,0.15367478990304795,0.2589747444319397,0.12976176712781975,0.22722548600157386,0.2366153820563182,0.12355623002269821,0.19469155499149207,0.16784834793398695,0.14999714290010677,0.2856690624810458,0.23783349256866967,0.42368704051247064,0.5964981714537549,0.3525599118756349,0.3546184239092509,0.2663058222952128,0.29099286048757234,0.29663861423799814,0.23272967922032733,Advertising Club The Cal Poly Advertising Club provides students with hands-on experience in the world of advertising by partnering with local businesses to create real-world campaigns. Members will boost their creativity through collaboration and passion in the club.
Agribusiness Management/National Agri-Marketing Association Club,https://now.calpoly.edu/organization/abm-nama,0.4902876380170264,0.5275406161795884,0.2015971360259211,0.5995767163427101,0.24676411541662863,0.6591856875130899,0.3882165954249398,0.37696244392354766,0.324059430104472,0.3357562767439348,0.1782322540912239,0.46466808740050225,0.39638453064629015,0.5305605476069373,0.7757078060944054,0.5951095677432822,0.36687873613761046,0.29759534145223565,0.2807394994156429,0.2782574888220207,0.17963681228241113,0.5008406793383535,0.2730251211785245,0.16483783098781601,0.5143319329557843,0.45234531310309456,0.2876473860588589,0.14729079584734597,0.272071904636335,0.24662179344457436,0.5159352268151842,0.25884315474041636,0.348030264310212,0.680703300225425,0.37670866359703503,0.36575163685720535,0.24811563923701555,0.34416426438875136,0.29027702857461085,0.464344658846124,0.18626246541963037,0.24434924894753762,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2785854752960618,0.24383727111046283,0.17030408816178777,0.24419827814412953,0.2025325213464948,0.20883755054710307,0.2331684172278618,0.2873158514701458,0.9534005751570298,0.6388258904060906,0.8079714627880321,0.8926819353753079,0.47865161839330195,0.3426145974657712,0.3941115510188043,0.42812142546120363,0.3094264048005849,0.5944326923189075,0.49561204241414725,0.30389651762334857,0.7451032490899717,0.7955533132150049,0.36068425235800095,0.28796811056619115,0.4537376872331297,0.3247416171381628,0.28639835848073225,0.17424280232908584,0.2797674451427807,0.28088398690359834,0.39454043638289304,0.48904196602253575,0.5599280286683472,0.22136707894964128,0.18873915832072025,0.5651838038544521,0.3670394185879319,0.5950506775260718,0.5488958773623244,0.3109633163609437,0.4608665438997095,0.21631712730864067,0.2827052743073833,0.5040164997004865,0.46418760048564556,0.3689854379075031,0.35827640203958144,0.11565876934782596,0.3486299408672075,0.253630765066159,0.29826713292050694,0.48766675018852457,0.20115432000414463,0.22360746955757918,0.25369266233882304,0.25646866560147713,0.6588549267451519,0.14729079584734597,0.47441574925167007,0.2691133765631615,0.11220504710871865,0.5149950562928695,0.33947214960915645,0.3631794757889222,0.3437124630756194,0.8094631080219197,0.46139728848155237,0.39587565280755305,0.084599685531453,0.4066545346284627,0.2845016796590984,0.7239889226825921,"Agribusiness Management/National Agri-Marketing Association Club The ABM/NAMA club is a great way for students to learn about and/or prepare for a future in the agribusiness industry. The club allows students to attend industry conventions, compete in marketing competitions, and network with agribusiness professionals"
Agricultural Communicators of Tomorrow,https://now.calpoly.edu/organization/agricultural-communicators-tomorrow,0.4597347720131745,0.6996570131703742,0.4608367358577263,0.6663015002470212,0.4569635515653487,0.6971691464241401,0.6159935805288705,0.5468650831139494,0.26406301335204074,0.6069750116810734,0.3355661280961062,0.6410247027769433,0.5109113413953945,0.5515007869635293,0.7626333709396922,0.5143311473840528,0.35017947499817886,0.3910944146100004,0.4909456883001092,0.3028726686188327,0.2077243628929487,0.5539598709092204,0.5760880877919888,0.1780449309371901,0.690185590089716,0.5834933933523999,0.5933166737332084,0.20905544701703385,0.37351650611277476,0.3566824224435405,0.6778769175157804,0.5531533384422694,0.44814569645952945,0.6316635697410644,0.6710732410122328,0.5230918893819809,0.35757083713444576,0.4463790516448068,0.5765682355004719,0.5743500807451926,0.261151222549879,0.3392908212690685,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.37147007061017606,0.28067715112310465,0.32247511965789616,0.3574436922494113,0.26106235568705216,0.32678526616646103,0.4011138841630736,0.1987178121173768,1.0,1.0,1.0,0.9461305572653129,0.5799087676470206,0.5789168526371276,0.2866497717379651,0.4022621574467613,0.3772443618860987,0.4826249124823606,0.4751940016821875,0.21566492410885438,0.8257258828186492,0.42207980974256604,0.3543604983149349,0.5376535038445752,0.4296858736836984,0.37804766811076546,0.7201059395663821,0.28719977283883563,0.326925525127101,0.41406012523958596,0.29208809717893736,0.495379956735375,0.5662133438646525,0.3278323847937843,0.4568433048562677,0.6708917182120366,0.3781776750797598,0.5647612543255806,0.566616379936878,0.3799438093476557,0.3386461535347038,0.7312822575641209,0.5006202727905242,0.46702329685187327,0.4035487128128303,0.4345387027536293,0.5581208521924431,0.1758071849947872,0.41553213630859903,0.287802698460391,0.338686082414583,0.32434225035903724,0.1873926464587653,0.1775408083601726,0.31633268736091574,0.30990199235243854,0.5414860468289541,0.20905544701703385,0.45275870296572107,0.3681873888102287,0.20419795844683572,0.6211474615336543,0.3760423615960544,0.42371885921559027,0.385081666350527,0.5328380346479876,0.6471705445747917,0.36666785170519156,0.2473006797781836,0.34786301198096203,0.309328384837444,0.9352413396462437,Agricultural Communicators of Tomorrow This club provides students the opportunity to become involved in the agricultural industry and be able to bridge the gap between the general public and those involved in agriculture.
Agricultural Engineering Society,https://now.calpoly.edu/organization/ag-eng-society,0.3320909497314389,0.5625616019330167,0.31900410155769665,0.4769536784433257,0.40483028208724525,0.6216871889519096,0.6549181766707778,0.5488120199995808,0.423510594399628,0.40256164715347115,0.2697490839754775,0.35463727813635026,0.47944124412360206,0.38762122452830367,0.662019811965946,0.6733478584440101,0.4451983931710651,0.22056550281418136,0.32438340640486685,0.34807636545461207,0.23653782322380773,0.932376762160359,0.4303009088407005,0.20551926131080847,0.48107451276821817,0.4721612112728514,0.4482331009789543,0.19690013535959103,0.3076617063485947,0.34755654475101944,0.5208410461895674,0.3698419557542426,0.3051669174621119,0.5684546054733679,0.5788505584466324,0.4777800064067711,0.3641743761684649,0.425614439594989,0.2568589151185665,0.6102277855033288,0.29906311175297445,0.4817181341203108,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08730699656116284,0.3284231653926679,0.16577536109183913,0.2576326421202396,0.21062621849730295,0.2353080873149695,0.18514896250436247,0.5303286925294766,0.8358902157912749,0.6432485633584285,0.8866683016968935,0.9252096025123673,0.5630389041012901,0.4654347944211325,0.7440229225250787,0.66318625461592,0.4849299782669898,0.6030368539864286,0.6393990033327372,0.5345903897667786,0.8848595587828164,0.6571048625376542,0.49337398416724276,0.49349203575123335,0.571875466987454,0.6288613405722061,0.37437284887032296,0.23810462210805977,0.549361460870773,0.45067170277181473,0.37588289502076333,0.4513723841596171,0.5761744132435591,0.5648945964894303,0.3708844063448854,0.8519083097562024,0.6273766518312855,0.6020291734544774,0.46703377856898465,0.37784028533433134,0.7204490178962809,0.403164467273187,0.4557301548565771,0.7747085366423668,0.4515724393887639,0.5358795869129002,0.3993892346201896,0.30050975092976845,0.5176365936166996,0.5390565798671649,0.4367803267654006,0.6611856614851093,0.2960269850845041,0.4416127299762525,0.43327403203609255,0.5678831633225864,0.662146249183085,0.19690013535959103,0.4008887084011231,0.4452745310123809,0.41855703800380517,0.587493644642717,0.3933589499928515,0.32775086422243305,0.5404847264987764,0.492995846203877,0.5525353547086329,0.6329976546518018,0.06660903103176485,0.37831464744762533,0.33210546160920806,0.7304130696705001,Agricultural Engineering Society Main goals of AES are to enhance the student experience associated in the BRAE department as well as other departments throughout campus.
Agricultural Leadership Society,https://now.calpoly.edu/organization/agls,0.8081009524713948,0.6777843599168204,0.47290697388947456,0.7217138037368934,0.5887350747180659,0.6413398918488261,0.43156768280595464,0.2870288236046139,0.2744856336899708,0.41287950491212166,0.3130975646192513,0.615116976572559,0.47397518125298005,0.28795660586631455,0.7155356085239513,0.49539079439377043,0.1526641342194021,0.2401180178395096,0.23387398958771866,0.23818501041727755,0.276713793569145,0.5945979182050235,0.3239100672928005,0.03019573134458787,0.4482292052215227,0.27977316063528723,0.3335186602323625,0.15461020812557288,0.2780772206362496,0.21370403965338997,0.4793350432157295,0.3397763593051734,0.5038181505834363,0.5991415887675864,0.4995989579250114,0.2649978040482951,0.4025769615022037,0.3745642278899571,0.4016613717756776,0.42635972315365495,0.14722229332103143,0.3052174714379795,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2572921213926537,0.3748321211689435,0.29886185456215814,0.3090059763638704,0.3075912541589679,0.30939832197347794,0.3833971105902483,0.2307696306204164,0.8703143803761196,0.7118902075874939,0.8992724398974485,0.9999999999999999,0.556609729029881,0.4401981362198691,0.3985788624040059,0.4193037214059807,0.26283168341282975,0.45938393765531915,0.5231837157471199,0.2818636261419869,0.7784683757123828,0.5095303904042191,0.2845094534200676,0.4486740648500317,0.47489455142337883,0.34878273668707127,0.3357309900796667,0.2264179591710861,0.28490473818756196,0.3397938616648818,0.31917161320592297,0.44272321460932623,0.4861777876285948,0.2774316620765253,0.17708579616473363,0.7534067614228983,0.36325864954163534,0.5040873808495375,0.5104637618943972,0.3602925294953177,0.33827183975376357,0.3160672296861998,0.38226153443183575,0.3934050819801392,0.3214166162064439,0.39001481751122036,0.2948521237898395,0.1296109060474649,0.4270458247359458,0.27592198832407017,0.3669113378876818,0.3083221142530984,0.18300568892472543,0.24142927968495942,0.24028144375748423,0.29139985654055345,0.5337959052965416,0.15461020812557288,0.36884354215222126,0.31125734075249223,0.1408335941309944,0.5769109135283749,0.46237621475053126,0.3929101690262939,0.5101538131749702,0.6131718970716061,0.6347389768969922,0.3246086060004455,0.07725339531720748,0.30802824035306575,0.22146841154039731,0.8065851915511562,"Agricultural Leadership Society Agricultural Leadership Society empowers all students to find leadership in agriculture through growing our connections on and off campus, discovering our strengths, and being fun and inclusive at our club events."
"American Society of Heating, Refrigerating and Air-Conditioning Engineers",https://now.calpoly.edu/organization/ashrae,0.26569318198219205,0.36495437627353644,0.23978585548700077,0.47893871181158426,0.23340784998474634,0.4469572073581183,0.5670776663418156,0.4275496115953925,0.4662000975112994,0.22752964320360106,0.1563390160130122,0.2990107051181714,0.3081348367341431,0.30439346025469194,0.45906146834823974,0.4464467813331833,0.261653640417736,0.25174928263053936,0.11209308721384029,0.1814334511931279,0.16784519711722767,0.5804448309338092,0.33971237647640495,0.17936445864142944,0.24302084969937854,0.36005404097360466,0.3079125699481172,0.10115898280038245,0.22178212733798058,0.30926130921776207,0.25005656271695453,0.24027304095946764,0.09198986645909464,0.3543864840969946,0.5388795114570781,0.45058071460261806,0.19160440673520193,0.4574980101642035,0.2187263849833334,0.42611017494768944,0.294381049400356,0.42367396478830505,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2527080343472794,0.2683038175058122,0.2420961073574941,0.21030979834260377,0.17718712214323495,0.2498016057471883,0.18128239035610055,0.6115665329445504,0.38900208024740457,0.21224768612497338,0.3530194792213504,0.37662624986675114,0.3858417494323735,0.30506252003909506,0.8435137542722988,0.6898790154614817,0.4599015559581317,0.44387274882933214,0.336785402335865,0.4157038101342136,0.3970821717803333,0.5476391823512327,0.6096634575556527,0.19820321229865212,0.4191390904805833,0.6962283819797537,0.2640551595661718,0.15926007183827967,0.6387765583515832,0.517772007047945,0.41336212615664947,0.2897571471827819,0.38223136235359345,0.6481231419310444,0.21697815630188572,0.47884533786381045,0.5064901693370424,0.3484545394021885,0.27934695151693634,0.4150118676008176,0.5962232050607665,0.3486887508830119,0.32816803324598576,0.7383699855082922,0.5255694837560245,0.4081396438556258,0.3091965042737634,0.33426965237426015,0.33184437055758154,0.43171890988794975,0.2702808770424464,0.6047122438507365,0.2957603676888585,0.5244365998664103,0.42908010882529585,0.6002003849408137,0.3175000750163043,0.10115898280038245,0.0981003553719402,0.2398905013937285,0.5240608791096255,0.3121217932985487,0.27743642530092116,0.2647912044648667,0.5004182693078485,0.5439106760873377,0.3996826808058001,0.5532990256065696,0.162223416905416,0.32726896829683183,0.2985483236763939,0.15538514079107846,"American Society of Heating, Refrigerating and Air-Conditioning Engineers The Cal Poly Chapter of ASHRAE (American Society of Heating, Refrigerating and Air-Conditioning Engineers) helps students better understand the possibilities within the HVAC industry."
"Alpha Chi Sigma, Gamma Zeta Chapter",https://now.calpoly.edu/organization/axs,0.37070647679053953,0.49834370439275766,0.2684162254144027,0.2887844870449044,0.22288258283301848,0.21810855990773315,0.15243669496947548,0.30632162385520506,0.2615347848397187,0.21792221634236325,0.2269194417867012,0.24050919295209836,0.18667598012015912,0.1788197545237392,0.2523513346487984,0.3155447012479224,0.1138334781273183,0.2489044766924488,0.027875424503290287,0.18695041588523584,0.16742892998885975,0.5481144125132595,0.08084839310519505,0.06657099608618897,0.5430207806888221,0.014709800109647314,0.23362753262521924,0.09125427787882144,0.24830820755292277,0.19411775086739913,0.22088714797440148,0.20537850276776753,0.22903608386713503,0.33403528577219005,0.31246343191344694,0.27038475459248945,0.24641433940490026,0.23204966377442082,0.17755283250969167,0.20835781849531057,0.0941487620626658,0.19976672757799913,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34373208279032197,0.20886197118361888,0.16945918137287935,0.21389101889287182,0.1064896006487461,0.19672452527028442,0.3016655248526046,0.28015439229658123,0.1087743020757045,0.050266171108150376,0.16355044281049097,0.07136071510894154,0.3405712422341758,0.19412838008653927,0.31699053852333603,0.2432329487008754,0.22303878184172396,0.6646113555864669,0.47274516873876427,0.29049460424385654,0.1306023157745361,0.3435752217770729,0.6620991313363417,0.12024707765805306,0.1891215164530196,0.238905009774447,0.24562545430665694,0.2024364145384841,0.1821656350622165,0.2903042503042775,0.1215460522752454,0.34269079976499567,0.2428769228901227,0.2281967857506538,0.23785956023609128,0.33082021041042853,0.24330654374008914,0.2863607791094928,0.24676612296225348,0.26327032734854394,0.2757000036157478,0.1851418532147124,0.26709178092784835,0.24332649369676268,0.2787505156405844,0.39858032050230224,0.15023229442412472,0.12954328395627807,0.02762037759517445,0.2629246686700375,0.30836657856354915,0.22029864834682758,0.25046782322479527,0.3634032761001202,0.2580784182734767,0.20351486573857924,0.41766335042542446,0.09125427787882144,0.1739614332015471,0.17751897834069902,0.24685231302416405,0.2962178757331234,0.3094527562388919,0.10584058359822765,0.3448141823065579,0.13506882567244774,0.4101960933992994,0.1501463217751295,0.15388621617295667,0.14051516855659849,0.23515319615721209,0.2252841404238643,"Alpha Chi Sigma, Gamma Zeta Chapter Alpha Chi Sigma is a co-ed, professional chemistry fraternity committed to creating a positive environment where students and faculty interested in the chemical sciences can become involved in service and leadership."
alpha Kappa Delta Phi,https://now.calpoly.edu/organization/akdphi,0.3028010731944331,0.5120028825143319,0.2922769407442834,0.36199812162621575,0.3355703984597866,0.28094653770017486,0.21408874491505003,0.2966374857382593,0.3461920291972562,0.3154845804589273,0.22851369760692258,0.10768820906307355,0.06761620738552712,0.22209708280891607,0.2521391585541638,0.2256839535793364,0.14133011021403047,0.32544069266402453,0.13499831071349688,0.16233703631529903,0.13519742993693634,0.48162426486849164,0.059824307250937,0.17231143943529925,0.46551334997714605,0.12166108597339098,0.11084663265095077,0.0800266813553567,0.29800901569520033,0.16870819265051917,0.15838461953203747,0.3432782430802007,0.25974861146641576,0.5073174013216359,0.3200185357798945,0.11562750898527462,0.22246719155019307,0.08681896729052216,0.2455353958623956,0.16541321462704417,0.2717601953935801,0.21558661808744412,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.32688084559052855,0.4360115265975142,0.19124950277575914,0.3932408443637577,0.3235985691373694,0.39757441105820285,0.4237934406418185,0.25731352191609347,0.18451799272944797,0.09057252942440294,0.1461762230983041,0.17670148038485722,0.2718467596881169,0.35012820453555427,0.33297912514125255,0.30439805666720476,0.20043416200557326,0.41120613095303005,0.32072395334047776,0.24659815590467637,0.14616100314025138,0.32613170449489315,0.30340091843678735,0.06777004041583727,0.268158324226458,0.21224827459055484,0.18278101076501205,0.24085861314718443,0.25984045962440316,0.23424887184658205,0.10482875040295529,0.23436852756606746,0.1929396841194196,0.16087574023365858,0.4135958585702937,0.2806616888865155,0.1674446933311017,0.2175713459445712,0.16704213995907485,0.19515811992343501,0.19504481803989587,0.19970710868530558,0.31748006877107654,0.16954536466444525,0.1702119994585408,0.23727367322727627,0.18441322329774418,0.28015732214802835,0.16175076940923186,0.18667205586007812,0.26444452804942054,0.19123819519938773,0.1723521407927773,0.24122311861239926,0.22567793208695464,0.18308286951657013,0.24991843176172787,0.0800266813553567,0.14483945039031904,0.1272804298173525,0.15505741012460741,0.17660714214272008,0.25631469801808127,0.19114512684800633,0.2981064766682935,0.28752893895543363,0.38571915436299575,0.2357674397622094,0.3021415082089405,0.15684704826140816,0.23857164643714157,0.09334395157244535,"alpha Kappa Delta Phi alpha Kappa Delta Phi is the largest and only international Asian-Interest sorority with over 65 chapters across the U.S. & Canada. Our 5 pillars in which we strive towards are Sxsterhood, Scholarship, Leadership, Service, and Asian-Awareness."
Alpha Kappa Psi Professional Business Fraternity,https://now.calpoly.edu/organization/akpsi,0.4207236065640816,0.5401228306178969,0.1822762830065212,0.2101134423448909,0.18930754083030357,0.2674181646069359,0.18420332440289305,0.2999384165690989,0.3756680789738085,0.12135007919817932,0.14125454789886333,0.33308709073488374,0.3280173310632095,0.27899504720305857,0.5793418501524357,0.2094513002909047,0.053537684494989725,0.33642255109276076,0.05782435889352586,0.13635643738151199,0.1115895315600682,0.5910139923310181,0.04965636248181285,0.1077777212582458,0.5688513399894781,0.1561349871242002,0.16718558857398003,0.04178982979169984,0.2375386384427946,0.28675502423694266,0.1355316488008966,0.1791900594311269,0.19763379098945005,0.46400038870808685,0.4709161953343717,0.16005826420569896,0.24531046364469292,0.6166391068104657,0.39901946581621384,0.14820393765297923,0.2361897890533463,0.12152867590151395,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2772921762464716,0.22416873868054754,0.12558687437246796,0.2053932384306308,0.18586479711290538,0.17171964987935925,0.17488034877870598,0.2774396223440138,0.34963570035506286,0.091388151414091,0.10960841762752668,0.18457623036432977,0.23952727604311408,0.17626619884811207,0.4214481839739507,0.39379972836142985,0.2618100032981131,0.27840098633307586,0.23348636442755255,0.19139106706868708,0.14225591094856746,0.7892720103193218,0.24476941027829394,0.13182975069081512,0.30195128162818374,0.22950298732490892,0.22324226258329244,0.1269571275287313,0.21100444054368614,0.26242226752845094,0.2764930059352397,0.23205797099930384,0.3638278546395325,0.19555881400357164,0.2857938310541951,0.2362904823907639,0.2352971906953275,0.325284324842424,0.16827255103799327,0.15424252359076052,0.22775194470689794,0.26379765198500427,0.14533466916864843,0.2969178663760465,0.3364865438742297,0.33370963827995487,0.16521228897823179,0.10293395429313941,0.2023949593759835,0.251177641467125,0.30800246821779464,0.24846127070768362,0.15177341547727582,0.22248292828194788,0.1813359833531364,0.15025640453923145,0.17532174270669193,0.04178982979169984,0.04382608325951131,0.1699289195191212,0.10628038443964148,0.16749667143033925,0.29030383049398856,0.18706042462708372,0.40729993717744384,0.43810565445495925,0.3616887460649148,0.21719068572291164,0.16361988738001884,0.11002125285505845,0.2393908961198299,0.11754506263237512,Alpha Kappa Psi Professional Business Fraternity Alpha Kappa Psi is a Co-Ed Professional Business Fraternity opened to all majors.
