Club Name,links,Leadership Development,Professional Networking,Academic Support,Community Service,Social Justice,Environmental Sustainability,Technical Skills,Creative Expression,Performance Arts,Visual Arts,Cultural Awareness,Diversity & Inclusion,Identity Exploration,Peer Mentorship,Career Preparation,Entrepreneurship,Research & Innovation,Physical Fitness,Competitive Activities,Recreational Sports,Outdoor Adventure,Health & Wellness,Mental Health Support,Spiritual Growth,Faith Communities,Global Perspectives,Political Engagement,Media Production,Technology & Computing,Engineering Projects,Scientific Exploration,Agricultural Studies,Business Skills,Industry Connections,Social Activities,Campus Traditions,Educational Outreach,Skill Development,Discussion Forums,Collaborative Projects,woman women,man men,lgbtq,White European Italian,Black African American,Native American,Asian,Hispanic,Native Hawaiian or Other Pacific Islander,Greek,Christian,Islam,Jewish Community and Judaism,Hindu,Buddhism,Muslim,Sikh,Aerospace Engineering,Agricultural Business,Agricultural Communication,Agricultural Science,Agricultural Systems Management,Animal Science,Anthropology and Geography,Architectural Engineering,Architecture,Art and Design,Biochemistry,Biological Sciences,Biomedical Engineering,BioResource and Agricultural Engineering,Business Administration,Chemistry,Child Development,City and Regional Planning,Civil Engineering,Communication Studies,Comparative Ethnic Studies,Computer Engineering,Computer Science,Construction Management,Dairy Science,Economics,Electrical Engineering,English,Environmental Earth and Soil Sciences,Environmental Engineering,Environmental Management and Protection,Food Science,Forest and Fire Sciences,General Engineering,Graphic Communication,History,Industrial Engineering,Industrial Technology and Packaging,Interdisciplinary Studies,Journalism,Kinesiology,Landscape Architecture,Liberal Arts and Engineering Studies,Liberal Studies,Manufacturing Engineering,Marine Sciences,Materials Engineering,Mathematics,Mechanical Engineering,Microbiology,Music,Nutrition,Philosophy,Physics,Plant Sciences,Political Science,Public Health,Psychology,"Recreation, Parks, and Tourism Administration",Sociology,Software Engineering,Spanish,Statistics,Theatre Arts,Wine and Viticulture,Description
AACF (Asian American Christian Fellowship),https://now.calpoly.edu/organization/aacfclub,0.3435981796903997,0.4006690682358571,0.5946054712490031,0.54235606051354,0.48060354450797693,0.2501300534933637,0.30370669827756475,0.30457706586705846,0.286901599407698,0.2869179787384845,0.47182451700813477,0.27567427835647285,0.49937405703497256,0.5545538232374322,0.4156216338961689,0.44013196644573116,0.3996141259461552,0.319756382280603,0.26840282994686204,0.2923981637571539,0.4327253569014,0.3906935750574354,0.6162631600840018,0.7970235490708935,0.8626359095059207,0.5370351322471435,0.5513168601149186,0.331926306742912,0.28875856889228035,0.14884116147704432,0.5703133759554458,0.3768102915295395,0.3070077816709994,0.2833112798927765,0.33880252885964857,0.6065917402611164,0.5288440081428588,0.2280787526508801,0.3568873368203507,0.22871224861942277,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6848052933879223,0.6294329799635734,0.7844172511681538,0.6141543597101609,0.5715540878078746,0.613923409324648,0.45985066561896615,0.3706724565900683,0.43882038349738095,0.34086399409203494,0.347054402004731,0.31315445288239296,0.32256484181843004,0.5657978715872097,0.33805932526169674,0.28485637772313266,0.24248855904678326,0.4961993905658105,0.4279292407091725,0.2831168138172165,0.33465202220525464,0.5996448383103954,0.32506062066868086,0.20807345791616266,0.32284889223725544,0.3140881087819474,0.34474400807709893,0.24524516329449025,0.16635437400297354,0.291921566484235,0.22304897341620455,0.23276789067677098,0.2922813398656593,0.26433622812159485,0.3707659221438052,0.35765135306932255,0.18891169566462437,0.317064404480363,0.16622088356183828,0.3635335268178339,0.15076404415323053,0.12788294169887376,0.39542210358961805,0.2511782489937897,0.3090932113965493,0.5934692647878563,0.28829931941665937,0.20210678641920832,0.28846504810609874,0.17884578223812794,0.2953285670651792,0.13284472191823668,0.2528713336482974,0.16291012247973588,0.1003357424271338,0.11744757722367517,0.4898130487312619,0.3364519941597038,0.2113015555976364,0.4468791961754643,0.20233180586091376,0.4309035772607772,0.31023839652596064,0.2990840373569851,0.28719717949844015,0.4424949148027806,0.2586573343857601,0.33630150638454637,0.1543416855002548,0.12812000129542778,0.29207609038622,0.3485022508076647,"AACF (Asian American Christian Fellowship) The mission of AACF is to reach into the university and collegiate community with the life-changing message of Jesus Christ. We focus on loving God and loving others through community, Bible study, prayer, worship and more!"
Advertising Club,https://now.calpoly.edu/organization/cpad,0.3149375967864311,0.33641352963279597,0.31473249813609055,0.45350047786775083,0.24584837050787423,0.19879119234492454,0.38306056067345984,0.7262250800253436,0.4172640020969315,0.5434966684632654,0.301882577277907,0.12741403255021,0.5959631706085932,0.5346187575901469,0.31855001929848376,0.5822843449603471,0.39734444996651463,0.40083581476215563,0.5550897722330894,0.2596104622073921,0.3599529662137535,0.16531622044996513,0.19933512061186326,0.30061657821620824,0.3546988284724467,0.3094752427805893,0.38342420766629337,0.557989497141865,0.302727355337578,0.3892901826347841,0.38009865796165254,0.2217027953772101,0.6196423263380672,0.46933698335445384,0.5403610852312825,0.3607357709387147,0.6184742485286554,0.3223746858748571,0.3923744976634362,0.5030068915819682,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19822859713994967,0.2366674236763846,0.4560633786514994,0.31240349177082005,0.2717443784598459,0.20960458311805705,0.23755460781258728,0.31445608938508696,0.3586309102305417,0.31537983228708394,0.22050639757944285,0.1874579899649092,0.2939292952728752,0.33921635097246344,0.367664403842421,0.34163064186241016,0.4670923120287123,0.21875601932036046,0.1853179439255374,0.1895539304862517,0.31531268405215523,0.4223177218732127,0.2619042685261363,0.2598830084923395,0.26580680954945224,0.1092838186169336,0.49207450816191123,0.05158227289879333,0.308025222593693,0.4145686375618984,0.245833517632345,0.368320108588996,0.46881003518544667,0.20558481730593792,0.40053201143678613,0.025360869422137944,0.16961923042470092,0.20931157787870935,0.1853323226742547,0.22965587589853018,0.1717013704358631,0.5063309488891968,0.1394574115431942,0.24623402833737074,0.27352031569268265,0.26222141233073376,0.4666567860400471,0.17172304743963332,0.15399748100384777,0.20129536387165212,0.18264089658927896,0.28686854694134245,0.07401277427629838,0.15954364379320862,0.34021893802763037,0.18728750759069424,0.2322699879733987,0.2882825802353185,0.25122731732306947,0.267711897056566,0.16150743251781635,0.22245757564452495,0.3663266144786666,0.28667093103886526,0.4222334772495666,0.5185892178365047,0.3474018518596655,0.350659155167928,0.35303215448273306,0.24188519241043266,0.43400207018582904,0.5676275089441823,Advertising Club The Cal Poly Advertising Club provides students with hands-on experience in the world of advertising by partnering with local businesses to create real-world campaigns. Members will boost their creativity through collaboration and passion in the club.
Agribusiness Management/National Agri-Marketing Association Club,https://now.calpoly.edu/organization/abm-nama,0.4606152310161481,0.44790516015782544,0.47185499139972825,0.4717083791962634,0.4008916520784898,0.5043460700141803,0.49144238009841756,0.42951557537815205,0.39560678565485885,0.45140473422405814,0.4267179515187083,0.2644325200514725,0.4134208716502881,0.5368318157415782,0.57227072130116,0.9481224703968414,0.6070243135798921,0.48366250199340477,0.7746790014162716,0.39315618785573203,0.3955371719040943,0.46751149609290354,0.3833655852032883,0.5782126192965483,0.4125863527041424,0.4994065218917503,0.44060447760518073,0.6375932407846588,0.37285075081103436,0.44772282830973514,0.4435626725346532,0.7865742460676041,0.7358562209540281,0.6922389873430093,0.544314704415986,0.6311965204126522,0.570012335532158,0.48513183995997816,0.4017330695123878,0.4491657757042398,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2518758245915927,0.5142760924283029,0.38788589622712333,0.44793575358850746,0.4470565539028627,0.3230800337495659,0.29598765889689815,0.4439424488793635,0.9317567059979542,0.6498270224893771,0.7672368728295696,0.7611478804826941,0.5345830237355749,0.5371347051936719,0.47885106249570597,0.47304667909872194,0.3701067551236667,0.43690515610962405,0.43633621191152533,0.2947012851889027,0.669488545838701,0.8973271605335826,0.4890979085846544,0.38673884493457433,0.3798384709803207,0.46491758675318706,0.4897368433949659,0.17364962984955903,0.34769173872065073,0.4208794053494325,0.5390328862102272,0.5157442803307661,0.6575322199589093,0.3357697750796342,0.4029975232547381,0.4441415809035451,0.38396466162657356,0.6550065306165811,0.48185710612509214,0.3313453250707582,0.4139819309036687,0.204278063092173,0.3934078063764366,0.5709936596424809,0.5597533446883389,0.5027367960641249,0.29052214737239546,0.3080939268253882,0.2688695897117081,0.16469105096731904,0.22616058133417366,0.5120905162085906,0.20624060077242018,0.36070246304282183,0.36348674435239053,0.38529596622923307,0.6471644587227724,0.34714635084642514,0.4929141510435734,0.3100074061281145,0.3062342700948429,0.5346049536773687,0.40749675991548645,0.4372718485094247,0.37836531508323507,0.7253943181849264,0.35045219901154784,0.5424346340636266,0.16391961130252425,0.44278240640399924,0.3729854620371343,0.3273903916977895,"Agribusiness Management/National Agri-Marketing Association Club The ABM/NAMA club is a great way for students to learn about and/or prepare for a future in the agribusiness industry. The club allows students to attend industry conventions, compete in marketing competitions, and network with agribusiness professionals"
Agricultural Communicators of Tomorrow,https://now.calpoly.edu/organization/agricultural-communicators-tomorrow,0.36694106068886023,0.5698532328697303,0.5524247645540273,0.5388809987011496,0.49478063106258474,0.4366208552984603,0.6417425459810832,0.4565789625446716,0.31295308792636634,0.5269452218526042,0.42954611371598583,0.27431052373168385,0.38040785068136296,0.6284718221105537,0.43735264118845607,0.6721505756667717,0.5541420257426597,0.31473201807752416,0.666145404008395,0.43146227032873985,0.3534516284649774,0.4402482403368473,0.3173136532644341,0.5177134316111838,0.5546460142005379,0.5563306538684136,0.565537940927205,0.4664923749358403,0.4725694254270364,0.4306582102286271,0.474963539553952,0.9732143318878106,0.6326486186912145,0.6179298045559594,0.7870374273776489,0.6027835853722218,0.798077057537907,0.6259691173714907,0.6331755167957968,0.5647232877269703,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3334941218523713,0.45060995861136754,0.4862195613225012,0.4527454837717473,0.37711705354342234,0.40114827646394036,0.30690862572886535,0.2745578414716955,0.9825532986531051,1.0,0.9640413251652011,0.836841777034684,0.588562500636639,0.5954867561319582,0.354986455739518,0.4680685639789276,0.36311745509620263,0.42232473395141196,0.47157998233214066,0.22197114205800889,0.7829537978072924,0.4710555001352773,0.3483451630873799,0.4241260717910643,0.29086115227147913,0.2909112389303855,0.7139725910550873,0.1483608830930459,0.2974000605933239,0.3935878289762623,0.30825648890290847,0.6552221034044725,0.576023580438163,0.29101681935810975,0.4929901632810706,0.6172850414898499,0.3300064955560093,0.41874161786164454,0.573986779309805,0.407513846584053,0.28006105929519964,0.5549696961147398,0.31420792389889823,0.47802004804399234,0.5267901520629907,0.4471130924836686,0.4071124137592261,0.3420893596643991,0.30355922782258193,0.1860308725836501,0.24581526537991322,0.3229585006227027,0.17732623922662347,0.20554162635992596,0.42919744451330166,0.2906646567715275,0.585114658731503,0.34953995378385394,0.5633252296646727,0.418091982037729,0.4367376069763224,0.632193933696546,0.35211384233686266,0.29150144334712724,0.4300778857797394,0.534727869070297,0.5155299646018392,0.360823568873761,0.17265047290296098,0.33292515534960054,0.3438162657495301,0.7464910224273373,Agricultural Communicators of Tomorrow This club provides students the opportunity to become involved in the agricultural industry and be able to bridge the gap between the general public and those involved in agriculture.
Agricultural Engineering Society,https://now.calpoly.edu/organization/ag-eng-society,0.495987251834178,0.2620580864356956,0.5647257494378533,0.10161106860279821,0.4266772789177452,0.400787390844466,0.7189863821632444,0.36555004511663003,0.17666422893699144,0.4390792787381526,0.3242252573617548,0.17488065604353453,0.5272322957198889,0.4070493883179913,0.62160117448231,0.44354612924282844,0.41111014487398945,0.37201751038986564,0.3265974574529049,0.08989572129227595,0.2293332259008122,0.21391133132700552,0.017555584009514208,0.2871685981595672,0.1782820142779216,0.4685910426378449,0.4063251132293484,0.3248461961126729,0.3802382265435006,0.8816599581775986,0.4877789456129581,0.7081598296440728,0.5871429287649761,0.4211589321598661,0.19509186688456634,0.5406085073757042,0.5959698560710006,0.6326087288667153,0.02574647201407701,0.33821717150341,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11542956925028168,0.29473546786585625,0.13005718713411643,0.3158900955234802,0.07257544049825514,0.19144646434101634,0.0917369663794227,0.8137395057884004,0.567366508541266,0.5362399219302126,0.7246348543449598,0.7520501620272196,0.5263200586402453,0.4588904213384177,0.8375180751341252,0.7025229496166138,0.33302835333770736,0.4227828506330521,0.46298469970014755,0.5370663513342742,0.8362704431747126,0.6603862368869056,0.36106376413391245,0.4378024823164425,0.3999138177722934,0.7435107472501008,0.3804409615791782,0.13529178875578873,0.6914644627499438,0.49781225906639415,0.4187731955854761,0.4374917985464356,0.49600707786125803,0.7235042885228544,0.5806073602374578,0.5289162343567659,0.5972067344503822,0.615367438910356,0.4440178802041761,0.4357327003419815,0.748228280929751,0.16194585989622576,0.38687389783663756,0.7443732049695249,0.5151601896786534,0.5967834791029931,0.2619242949759542,0.39503935223280434,0.3614074669734665,0.3042802601036215,0.18726905486245,0.6262537332946803,0.31483932379382806,0.5188206762005277,0.3624231982529955,0.6309259268016321,0.5183598627784199,0.029493704389844076,0.4131530086634516,0.2369146134248169,0.34894678949385016,0.5306686050933673,0.35779502949149194,0.259803864202652,0.2322267045380139,0.3043951017483112,0.13176867426712366,0.8885186106864149,0.11434032301325436,0.3134055811258967,0.23013041937697043,0.5632751109313225,Agricultural Engineering Society Main goals of AES are to enhance the student experience associated in the BRAE department as well as other departments throughout campus.
Agricultural Leadership Society,https://now.calpoly.edu/organization/agls,0.7163553210561786,0.32458227219742614,0.6212545177901789,0.4473453794441254,0.6201509537810872,0.439017246458389,0.44884572868963324,0.4389902435553774,0.23980004304023575,0.36050409894332747,0.3532524460289377,0.2903829374188675,0.443135294170111,0.721129212716994,0.38267757229530397,0.6553771591087895,0.45918525784488173,0.28884349501603385,0.5552246743425653,0.3294563022950385,0.31292380173937484,0.3936884022084578,0.13478365703523432,0.6084912717462972,0.4494557957825646,0.5280412585956668,0.5340584459990888,0.4054889402606425,0.2560513924135586,0.3059425967188472,0.46936104711323723,0.998048251259626,0.5118801573106176,0.4253570308001907,0.5883755079924727,0.7504986376038754,0.7350094942493302,0.5042941463037602,0.18811961829891893,0.438555994644869,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.21367927792993352,0.39687782609247113,0.37896134740158993,0.3218254011010497,0.2704528591322551,0.318735327373436,0.263764460485887,0.181773473898031,0.9317711945278561,0.8133326244380077,0.9611546013936343,0.9864080145853964,0.46668906113878705,0.6300029616957221,0.25871462600031087,0.2999525211802632,0.2543516804929587,0.40492409487908565,0.4204260121367326,0.14295103380790095,0.750256721699666,0.550390522940949,0.31886429845307906,0.2555248505922898,0.1857002851582228,0.2388694472923929,0.4256079434279699,0.14887541221965822,0.1348565608484121,0.2484382527223869,0.23582395193386202,0.5457945605010257,0.4765718776111902,0.24933318426671736,0.2912003492673347,0.5875251763679689,0.27967968649329644,0.5029270471402509,0.5033893161567933,0.3826132593017778,0.24685010039969993,0.2519314512321908,0.4510289967316017,0.3219818621317276,0.3583588399381307,0.44362613288435615,0.3401929443175722,0.27422817692655266,0.3539602139222002,0.1546530622805667,0.23347424164662212,0.1682379157037509,0.15271503414488613,0.08476553207058796,0.3743544415479631,0.16089323344469286,0.4925676570413334,0.23389868594300034,0.44554691279232345,0.3368822344415787,0.3584936225800689,0.6717489376366274,0.3374289076517613,0.333647156441235,0.4716105307204946,0.5401624270040536,0.5353855749991066,0.21178969619904642,0.04346164448252049,0.37305766133501195,0.24654322488127384,0.5892922977368715,"Agricultural Leadership Society Agricultural Leadership Society empowers all students to find leadership in agriculture through growing our connections on and off campus, discovering our strengths, and being fun and inclusive at our club events."
"American Society of Heating, Refrigerating and Air-Conditioning Engineers",https://now.calpoly.edu/organization/ashrae,0.411864546727316,0.4101230994762701,0.4222918413501889,0.13850047205393112,0.3772871931938756,0.4558853718053595,0.7709641521578571,0.3580083966788814,0.39154365485711795,0.5813596499870938,0.3515243211007517,0.13038387805325768,0.4172962359492049,0.39505889563888097,0.5376594539029171,0.2980783475705381,0.4438517355696366,0.615367511186265,0.2558864894010726,0.14159415634382194,0.2530984158823477,0.37355122555367615,0.2468367656660922,0.16077048428509316,0.20920885340564233,0.44635534175951913,0.2295147268350461,0.4760003763275873,0.5566297393557524,0.6908582050015624,0.466204373211175,0.34621696986132133,0.49098179633958716,0.6294248356876082,0.21005263177745057,0.45276628842173605,0.45436282258173544,0.532179999362244,0.20769929900203687,0.2864086443219027,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.20871851799109836,0.2890976107037941,0.3554053824828784,0.44471302744492625,0.2848724291425034,0.3039621332879402,0.3048623247283696,0.8389776603118944,0.23646575108333756,0.23383202360342298,0.4148948768985668,0.3452475185180364,0.3806217840798681,0.5046988718675388,0.7753155735982641,0.6222940295679908,0.4692182389056845,0.4386377274958553,0.3696479036388037,0.3951080938557474,0.44796144634423485,0.672734099229781,0.6236046575698366,0.3889720241800183,0.44012302470284254,0.7029982442369457,0.3297338620513556,0.20859685940304712,0.7744887916288984,0.6558815807639622,0.40262912923429,0.40853140141678623,0.5189850787219785,0.7081972850495751,0.56539759003393,0.35477609717115655,0.5377169533782915,0.6080575060186139,0.3830513016439345,0.5185314933399254,0.6952990217777212,0.28863905639451204,0.4328222063749379,0.8422320233658004,0.6620047503318613,0.5304218372520171,0.39811979942729286,0.47099615331265005,0.28692447756437534,0.331320677216164,0.22433539863351076,0.8517336326187377,0.2849826940280905,0.6304470675312797,0.4843888997238032,0.7551710796560283,0.4521009986603261,0.18486066628873926,0.3007996800261319,0.29280430465118323,0.5717260586990868,0.43090478557686596,0.3556584160684601,0.3800818876616615,0.47896607577888284,0.3493569072920322,0.2805390374361998,0.6433877125849157,0.3907985822558028,0.4191066900978873,0.3614068689897589,0.44400212892422825,"American Society of Heating, Refrigerating and Air-Conditioning Engineers The Cal Poly Chapter of ASHRAE (American Society of Heating, Refrigerating and Air-Conditioning Engineers) helps students better understand the possibilities within the HVAC industry."
"Alpha Chi Sigma, Gamma Zeta Chapter",https://now.calpoly.edu/organization/axs,0.45897002556595623,0.31103176555198847,0.5430095075009755,0.30530871684244326,0.3040973898527773,0.23994890063541008,0.3694059576270269,0.29059531679772144,0.32006230122640134,0.42473795263793496,0.2056933993824009,0.1857725578421407,0.4745263857188267,0.5455094104693061,0.42610543051565725,0.3440619321399502,0.335868729527851,0.5062936761394469,0.3398864667545467,0.18600675159646546,0.24029197125927781,0.27138501235859214,0.5218779540841766,0.41040622008153294,0.41737754754023965,0.28188576708942725,0.34337919671699046,0.2792673262126675,0.19782754603895986,0.2643792152740769,0.6284026960962051,0.12860070150882275,0.27408934914669425,0.30216600968840934,0.32117663972049415,0.4741984890439997,0.2847343284023084,0.23029614548165991,0.32925103576783205,0.2048293245119693,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2713588751978572,0.298825876407656,0.431499080037699,0.28235680422118453,0.2506045811960076,0.1997705635820899,0.15148320336799692,0.2766632657810607,0.12451401546732668,0.05189845977297802,0.2532551186669504,0.13884116652517792,0.42599407073354023,0.40900585906936515,0.36441588917519757,0.3091952492095368,0.12163325857861537,0.8079124489436783,0.6259715454959938,0.3459930496831821,0.22546024320551525,0.5296608342795202,0.9407865487832001,0.25400323646735273,0.20566783251910922,0.33066386277613985,0.18165609127049895,0.11228310906549753,0.3466812581523512,0.4510963762505596,0.13106924140924503,0.43257667744066386,0.32300376823466037,0.3313170333012919,0.5290720971825025,0.46511415400615247,0.2904772642137826,0.2792583230195037,0.3075304998098517,0.3913385464780066,0.30676980034765244,0.20020841872341946,0.3870681229065141,0.3017710721513933,0.16473611937694946,0.5152643495391199,0.2438058945683362,0.2633210198750556,0.08959174854704606,0.10767082025282064,0.15218691003885398,0.303041516724829,0.3251011826383413,0.3185009751197013,0.3999631350564992,0.2433830978206074,0.5668911025191757,0.27805893704022877,0.25772928015420027,0.48052829397512486,0.4052106749149007,0.525745493806312,0.3759106960041871,0.2833274238102863,0.6592948886615538,0.22185010129349148,0.3020900587407247,0.36755776196587575,0.43282256441241485,0.33328579114326384,0.24844762094074585,0.37996355737222326,"Alpha Chi Sigma, Gamma Zeta Chapter Alpha Chi Sigma is a co-ed, professional chemistry fraternity committed to creating a positive environment where students and faculty interested in the chemical sciences can become involved in service and leadership."
alpha Kappa Delta Phi,https://now.calpoly.edu/organization/akdphi,0.3446901606600994,0.20939629607680943,0.6029208439949758,0.23730932417694928,0.39763534332079736,0.16113480135799768,0.2035870322411722,0.07690329019543306,0.268868467001538,0.20380588684492545,0.3727760336482695,0.23709100067385536,0.4590491132081869,0.5340662438893646,0.16725228300324552,0.39384819605255095,0.2829500350774114,0.3810970509613901,0.4111651682055444,0.27185970336756127,0.23632817340637968,0.17294675177936208,0.19645732390435988,0.516838344489544,0.4377750584587235,0.5699359331478008,0.37102152935177046,0.16996631467813653,0.22404833204010335,0.2352345659155229,0.40891008640454707,0.11093492482556135,0.2456334490753146,0.2501417375524989,0.3478416685650022,0.614855673455099,0.26836950979767926,0.11745146010075444,0.18858984997117778,0.1198364919975089,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.23304271984017377,0.3896507113777414,0.5751831617598608,0.5224548427773892,0.4885374656792266,0.27668034266089725,0.4319833732266112,0.35206766344091867,0.13716173840529436,0.03680751614265222,0.06938363658618767,0.1298864802451864,0.2875058606696403,0.5420919754126454,0.45190371401565815,0.34477774518424936,0.17950934011204037,0.3808731321027332,0.40686293089241127,0.2505203997491685,0.11096802456751187,0.4272957992898971,0.3261061990572154,0.1844172893981919,0.32697014573297933,0.26548079027332455,0.18141840153661384,0.28345108777046046,0.25206880410715615,0.28692503907389044,0.07287399415432348,0.1416607169096283,0.2819637859305324,0.29818996515783874,0.5097678987157815,0.23125334844506718,0.17871359546666907,0.2049533362533718,0.10747278801966094,0.2899319179850449,0.24352845588518654,0.08829036953993831,0.37794112527444806,0.22304450738928244,0.17393988117091824,0.6350604248737275,0.22166601090127688,0.30671925128282845,0.23509053964699417,0.19320142308270463,0.258722835774091,0.23488836037096136,0.29617707323220177,0.1435088457587027,0.3005192801048533,0.20407308894942308,0.28626225434167996,0.1908965528259009,0.16643613468564397,0.40248752621959233,0.22965690389590626,0.31336890198741885,0.32665286243401676,0.16588760850715012,0.34048705727715894,0.27650536719242397,0.3092945871920098,0.25444613697083884,0.3355361656458655,0.23548795436491354,0.2040257256786922,0.1756486800684635,"alpha Kappa Delta Phi alpha Kappa Delta Phi is the largest and only international Asian-Interest sorority with over 65 chapters across the U.S. & Canada. Our 5 pillars in which we strive towards are Sxsterhood, Scholarship, Leadership, Service, and Asian-Awareness."
Alpha Kappa Psi Professional Business Fraternity,https://now.calpoly.edu/organization/akpsi,0.39851531670583196,0.5296629988896182,0.5264902921538654,0.22386501064516728,0.2620534561508296,0.20624793895717902,0.3314599416628169,0.2550631033906093,0.2774412001887825,0.30473011797943256,0.20898016655102658,0.08101558884364754,0.3464750709559816,0.5559075824847747,0.5822747286041658,0.6120358714418882,0.3698471237649124,0.4124704031271802,0.5271313972804401,0.39517797780038844,0.2698252077168758,0.2226873627637502,0.447597159416869,0.49988819544888463,0.35310773415547325,0.517686397447896,0.2934290445016021,0.41190453797710425,0.27194102195840075,0.19417177617765694,0.29125132830422856,0.1186449569239183,0.6635440230220647,0.6570121869107762,0.2633311480933429,0.48278232559528783,0.2379402186382321,0.2523038386024035,0.2723282840139104,0.1084123898353158,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1808952688817916,0.33138844424872815,0.3355017769930123,0.3328499228243714,0.37436458080800256,0.1586764021469449,0.3179359334519586,0.4490860107651148,0.3393400846502018,0.04350316951883272,0.17906841884925268,0.12439649801282199,0.22384693688630805,0.3127568139252261,0.40761349529969804,0.33571624973716163,0.14186118167362155,0.47121624910854043,0.41401014886714976,0.3076838960366718,0.2612122563363119,0.8231426842882843,0.3670020713526111,0.1782442557923234,0.21833537930682403,0.2978313435215392,0.20783822836445473,0.07783859910703175,0.33887422769151654,0.44183966542818487,0.28595807242109955,0.2300627745710148,0.42222816296571997,0.2383224989085092,0.3447468179565295,0.2363111766396158,0.24905842958522825,0.27107897228516104,0.18875685676370568,0.2532438643760549,0.3635059042033168,0.14261948131163515,0.28133239881016314,0.4222547419190348,0.3996936410665561,0.5331765285417731,0.37299812565074886,0.4074691057222849,0.10348173756842133,0.21723162247586486,0.2761434531306942,0.4639260964355129,0.24944091004340269,0.23286597258694913,0.2935643109708921,0.40225698310215596,0.37724322826516515,0.12228431546017972,0.208905829413603,0.4969998795174245,0.21404229332673202,0.3474499103893369,0.37556215797717657,0.3011704999525563,0.4831740462478656,0.3029639913015546,0.4486870288232726,0.29203012113973903,0.2602262752741514,0.19529141286129173,0.2669856210771931,0.4664936164411942,Alpha Kappa Psi Professional Business Fraternity Alpha Kappa Psi is a Co-Ed Professional Business Fraternity opened to all majors.
