Club Name,links,Volunteering,Networking,Visual Arts,Software Development,Sustainability,Leadership,Tutoring,Cultural Awareness,Socializing,Entrepreneurship,Fitness,Spirituality,Competitive Gaming,Engineering,Agriculture,Recreation,Activism,Historical Studies,Research,Performing Arts,Human Rights,Corporate Relations,International Relations,Inclusion,STEM Education,Creative Writing,Artistic Design,Financial Literacy,Digital Media,Career Development,Legal Studies,Campus Security,Community Outreach,Women's Empowerment,Mental Wellness,Animal Rights,Coding,Outdoor Adventures,Family Support,Culinary Arts,woman women,man men,lgbtq,White European Italian,Black African American,Native American,Asian,Hispanic,Native Hawaiian or Other Pacific Islander,Greek,Christian,Islam,Jewish Community and Judaism,Hindu,Buddhism,Muslim,Sikh,Description
AACF (Asian American Christian Fellowship),https://now.calpoly.edu/organization/aacfclub,0.5523873002119414,0.34877254934576385,0.28691800664420175,0.3047855713153025,0.30152705373628585,0.3649748461963097,0.3439088992941227,0.4718243892652674,0.3618360812280331,0.4401319916827633,0.3224373947940035,0.9204162663892469,0.20749491500473544,0.17442029996911101,0.3382401602356683,0.38298242788033826,0.47008289052312424,0.4247588275580285,0.33660832106349803,0.38881117612614585,0.4757233888842707,0.5078140984312488,0.5749665237174086,0.32264246149007725,0.4458923228930982,0.22346169955671252,0.18401162919367176,0.31639845239416475,0.29772669445734534,0.301417987980006,0.2585035990668254,0.3941048380690924,0.5509672379270228,0.23249790642243665,0.4593133350816827,0.39912229911544667,0.20792401321212586,0.36399024806896424,0.466359455641983,0.5815827505844634,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6848053561200034,0.6294324682606545,0.7844177290952467,0.6141545318261068,0.5715541258407524,0.6139237148145164,0.45985053308479434,"AACF (Asian American Christian Fellowship) The mission of AACF is to reach into the university and collegiate community with the life-changing message of Jesus Christ. We focus on loving God and loving others through community, Bible study, prayer, worship and more!"
Advertising Club,https://now.calpoly.edu/organization/cpad,0.5455434027088547,0.30333106893141204,0.5434970229132382,0.33913683201426437,0.2815860168051796,0.34196788276156415,0.5758009196643696,0.3018826420226886,0.578178021069015,0.582284655847151,0.4760514746922845,0.24435218186616683,0.3936510715222632,0.2594652176001614,0.23325188551857312,0.4930412628913865,0.42666379189259085,0.058984708801858104,0.3288420862744696,0.448519533716465,0.2681700037815803,0.75329685582982,0.3036562917032493,0.3794092816954924,0.26877060083857424,0.39520847203634807,0.4190186434461204,0.32322643334905976,0.5871434216970708,0.3222885453334033,0.11845359104238855,0.27829719113762,0.5460126989930795,0.24688361352927443,0.2251018641170174,0.4488318973690588,0.5266700026464552,0.4129088886531095,0.17080333551354215,0.37485124553429666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1982286820787436,0.23666725589713822,0.45606353029975627,0.31240361379950427,0.27174460154149177,0.20960477050387327,0.23755474250892986,Advertising Club The Cal Poly Advertising Club provides students with hands-on experience in the world of advertising by partnering with local businesses to create real-world campaigns. Members will boost their creativity through collaboration and passion in the club.
Agribusiness Management/National Agri-Marketing Association Club,https://now.calpoly.edu/organization/abm-nama,0.5961153342973033,0.4926926454662022,0.45140451140413596,0.505274981638805,0.5891710370564999,0.4745948557603751,0.461400954320624,0.4267181000247355,0.38362241080585346,0.9481223951233111,0.6176256479877775,0.6076473967067365,0.3363059972370353,0.3740756867557063,0.6783592607907816,0.5516668588456048,0.47497894658260054,0.4248963490141998,0.47807239333903734,0.39921844211118224,0.5036489502002754,0.8805775014509105,0.4869580471365886,0.37235671689250205,0.4506673827802723,0.2529008113713502,0.29028990973915336,0.3602593352081166,0.3773674628653715,0.5038638797606984,0.3589102648304816,0.4204188665257852,0.5752073143113805,0.3331419973280403,0.4270772308897376,0.5719286812694322,0.33553043273733174,0.37288014476044096,0.29775898842738757,0.6349907391697936,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25187582421825394,0.5142760079509362,0.38788601217011,0.447935774920437,0.4470563022143118,0.323080122686935,0.29598764840022496,"Agribusiness Management/National Agri-Marketing Association Club The ABM/NAMA club is a great way for students to learn about and/or prepare for a future in the agribusiness industry. The club allows students to attend industry conventions, compete in marketing competitions, and network with agribusiness professionals"
Agricultural Communicators of Tomorrow,https://now.calpoly.edu/organization/agricultural-communicators-tomorrow,0.6060296227753427,0.6378401998804774,0.5269454475078665,0.41085935130511725,0.5846103016013519,0.3413786436652844,0.8100402091143679,0.4295461698569654,0.6575178957613218,0.6721506242236106,0.48583846630152033,0.5324344575540856,0.35676982349251246,0.3031629925960677,0.842847128839922,0.5062287778875867,0.5832939179069565,0.386550437910125,0.41282379218860626,0.36682451212491085,0.3605480529061562,0.7861022033159281,0.5230880738216661,0.44597613150569815,0.5596338551092486,0.26654610681536617,0.27088996047464076,0.3347934912477547,0.49361430392777145,0.43807454543470364,0.26445844420748166,0.29841331883092864,0.7172528660444057,0.3026802798364661,0.4374954909804668,0.6192556015981976,0.4273066374470418,0.4379746749347916,0.335429548326466,0.743270010572339,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.33349413011313855,0.45060977063865393,0.48621995657420847,0.4527456243895881,0.3771170592932817,0.4011484853337126,0.30690887552374657,Agricultural Communicators of Tomorrow This club provides students the opportunity to become involved in the agricultural industry and be able to bridge the gap between the general public and those involved in agriculture.
Agricultural Engineering Society,https://now.calpoly.edu/organization/ag-eng-society,0.23506959107544154,0.37791633119421364,0.43907938493821685,0.693234229492136,0.46355200339370717,0.4099324596700453,0.5136619705747655,0.32422534573042205,0.2530375824927714,0.44354659638898186,0.4278182037734727,0.21394715465562744,0.025521753119260894,0.8016332329672046,0.5580765514341455,0.10338645330245397,0.18358000008200603,0.3784083213630156,0.2588890139683869,0.17518117015976353,0.4841256239519547,0.4937680655850193,0.5611283112060668,0.3356374701744112,0.759349023857485,0.14655130553224,0.30862662247278577,0.35876585573918207,0.24229026714499124,0.6061859936446754,0.3570511913504737,0.5818265835513268,0.25066224708414897,0.3350529235623205,0.198227126446497,0.5017366731915371,0.4743002936696954,0.21056976237943037,0.22423578680636808,0.5756758130059088,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11542972615855407,0.29473521422294957,0.13005745633476506,0.3158902772466354,0.07257548668019283,0.1914467518073631,0.0917371550763177,Agricultural Engineering Society Main goals of AES are to enhance the student experience associated in the BRAE department as well as other departments throughout campus.
Agricultural Leadership Society,https://now.calpoly.edu/organization/agls,0.5681029957988085,0.3739209800586266,0.3605041826931984,0.1917412081939395,0.5642192828467798,0.8005022182280209,0.6600611607108483,0.35325231554615427,0.6439774682310627,0.6553771091800595,0.438119824754875,0.4826529545559033,0.27695737083106514,0.22605512879439624,0.8226157641292218,0.3723164471775474,0.5365441471767833,0.4286411025806359,0.3780967512557926,0.30060697559468685,0.45058954371873305,0.5355059247695899,0.3598526708579579,0.20857902308401166,0.5862040688346795,0.25670325184604514,0.18229797936091197,0.22755652786016406,0.204772202655445,0.33539431409983966,0.20511877344210144,0.4424161470079901,0.6188546100245151,0.5153630164506049,0.4150158734088823,0.612706327136189,0.27457146834454405,0.3852329346574595,0.256251970946822,0.6245123232294221,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.21367929137829395,0.39687754734294595,0.37896134324892267,0.3218254402386299,0.2704527445504048,0.3187354305433968,0.2637645182973052,"Agricultural Leadership Society Agricultural Leadership Society empowers all students to find leadership in agriculture through growing our connections on and off campus, discovering our strengths, and being fun and inclusive at our club events."
"American Society of Heating, Refrigerating and Air-Conditioning Engineers",https://now.calpoly.edu/organization/ashrae,0.23731403403184925,0.38314487396212116,0.5813596065914632,0.4520061624914923,0.5428526505274381,0.45153730717296103,0.5431893393415179,0.35152425990083536,0.2800684664767399,0.29807833923961485,0.6050947191884937,0.38607077957473257,0.2033327915870243,0.7428527078960203,0.2932747589425674,0.26967597118960884,0.22518284753733156,0.47181437640076596,0.42206899669930603,0.25988440196559687,0.5615593217341066,0.7275953792950106,0.5839830237985709,0.3923908640479724,0.5297019780045261,0.16772955337984458,0.4110548100755072,0.25989886830139997,0.4810007414132564,0.46421280242001167,0.24292645056384948,0.4238953370408789,0.18846550903528816,0.23375113913867823,0.3903691042479624,0.35206737193803117,0.4924864967096002,0.28300170929845014,0.1784470205545322,0.5961793812110003,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.20871860084212068,0.2890973231426398,0.3554055062236801,0.44471331054846985,0.2848723280142094,0.30396242554162733,0.3048624540151673,"American Society of Heating, Refrigerating and Air-Conditioning Engineers The Cal Poly Chapter of ASHRAE (American Society of Heating, Refrigerating and Air-Conditioning Engineers) helps students better understand the possibilities within the HVAC industry."
"Alpha Chi Sigma, Gamma Zeta Chapter",https://now.calpoly.edu/organization/axs,0.36899703801369127,0.30591297751133634,0.42473812619733586,0.2750945928098607,0.2597441239471209,0.5140296191064939,0.44326370604353516,0.20569349656588135,0.23888865433723752,0.3440620449507543,0.5081815818123253,0.4635357937152482,0.30776566204694294,0.35250862293749363,0.08491623666070855,0.3240436486059933,0.2952261241274202,0.3785417200813963,0.3261009770408061,0.2883889746935736,0.452735834277865,0.3357270347009408,0.3633128227171469,0.38822331618416095,0.41166212353159304,0.198648903619783,0.22727157292348416,0.28636718157384267,0.2534677165527569,0.3010897940897053,0.20846996785693978,0.41863502035569294,0.28692306045022864,0.27734396808240463,0.4454475871569463,0.2831060286756825,0.24524892911145818,0.22508772693048348,0.24636696249097112,0.5280518379915526,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27135895802094473,0.29882605062616263,0.43149942651204726,0.2823568652905337,0.25060460880970503,0.19977066284920117,0.151483158086227,"Alpha Chi Sigma, Gamma Zeta Chapter Alpha Chi Sigma is a co-ed, professional chemistry fraternity committed to creating a positive environment where students and faculty interested in the chemical sciences can become involved in service and leadership."
alpha Kappa Delta Phi,https://now.calpoly.edu/organization/akdphi,0.13136578250657063,0.24570423611570044,0.20380590926490483,0.07151059069647249,0.22370315259169185,0.38819387997230775,0.2605177000263158,0.372776019154629,0.31803129421808507,0.3938482891207795,0.28830851151326464,0.47668803915039326,0.3424308945539752,0.2874302543035028,0.0982370576051705,0.27022667286190777,0.30220857492936515,0.2676251626415518,0.23381749236731447,0.19515493034994133,0.3860512955016069,0.5135396150716891,0.7026569135804959,0.3323472418415676,0.458979707369501,0.08808491985325208,0.14825025726915408,0.31276051518558146,0.33334288686000313,0.10880553190107625,0.24426150361076618,0.45979722252798777,0.12082315026566195,0.20931200865781768,0.2261161118835438,0.340119200212622,0.06739804680289482,0.2561480108732587,0.30780766928216,0.47278205667397605,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.23304264858020507,0.38965075120805837,0.5751835480706574,0.5224550819604679,0.4885376308715345,0.2766805253748924,0.4319834065035216,"alpha Kappa Delta Phi alpha Kappa Delta Phi is the largest and only international Asian-Interest sorority with over 65 chapters across the U.S. & Canada. Our 5 pillars in which we strive towards are Sxsterhood, Scholarship, Leadership, Service, and Asian-Awareness."
Alpha Kappa Psi Professional Business Fraternity,https://now.calpoly.edu/organization/akpsi,0.25385014435180886,0.322414587935541,0.3047302254038846,0.11742408844341354,0.2729324883662387,0.4132369312257359,0.30659317700022565,0.2089801309417568,0.21073415977791676,0.6120358112714029,0.4120409883777942,0.4897272380156422,0.544196720604992,0.33934171733188334,0.12812563686270195,0.2947158978627098,0.13970350434658024,0.2321148369904893,0.1992854132487342,0.2004525271621901,0.22186634445927816,0.7236022537320131,0.4122114397189619,0.17544731753590165,0.6210868258990404,0.13430977257881038,0.11518582567064786,0.316607922121931,0.414234672888049,0.38219495054930513,0.31354371600318476,0.394732598473986,0.0752531827917868,0.1584659133732929,0.36612217632212274,0.12237239144640619,0.17208218781941378,0.2086984380163054,0.1096444586988106,0.5374435446893643,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1808952888550367,0.331388338536698,0.3355018616094428,0.3328500696381425,0.3743646384102865,0.15867633885770932,0.31793598018424346,Alpha Kappa Psi Professional Business Fraternity Alpha Kappa Psi is a Co-Ed Professional Business Fraternity opened to all majors.
